window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id,ForwardingRatio,IngressEgressDelta,ConsistencyScore,RetryRate,RSSI_mean,RSSI_var,RSSI_Hop_Diff,LatencyHopRatio,TunnelIntensity,TunnelBytes,TunnelLatency,ParentSwitchRate,LayerChangeCount,HopStabilityDuration,RSSI_stability,PDR,Label,missing_firmware_fields
245,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.6,0.24,0.19999999999998863,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
250,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.0,0.0,-66,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.0,0.0,0.4000000000000057,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
255,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
260,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
265,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
270,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
275,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
280,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
285,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.6,0.24,0.19999999999998863,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
290,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
295,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,1.8399999999999999,-68,-64,0,False,4,False,4,False,0,0,,,,0.0,-66.4,1.8399999999999999,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
300,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.6,0.24,0.19999999999998863,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
305,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.64,-67,-65,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.64,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
310,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
315,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
320,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.6,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.6,0.24,0.8000000000000114,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
325,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.4,0.24,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
330,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-65.8,0.16,-66,-65,0,False,4,False,4,False,0,0,,,,0.0,-65.8,0.16,0.6000000000000085,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
335,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.2,0.16,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.2,0.16,0.20000000000000284,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
340,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.4,0.24,-67,-66,0,False,4,False,4,False,0,0,,,,0.0,-66.4,0.24,0.0,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
345,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.2,0.16,0.7999999999999972,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
350,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.2,0.16,0.7999999999999972,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
355,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,0,0,,,,0.0,-67.2,0.16,0.7999999999999972,,,,,0.0,0,4.0,4.0,,0,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
360,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.4,0.24,-68,-67,0,False,4,False,4,False,2,2,,,,0.0,-67.4,0.24,1.0,,,,,0.0,0,4.0,4.0,,2,"ForwardingRatio,IngressEgressDelta,ConsistencyScore"
