window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
400,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.0,0.0,-67,-67,0,False,4,False,4,False,2,2
405,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,2,2
410,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.64,-68,-66,0,False,4,False,4,False,2,2
415,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,2,2
420,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,2,2
425,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,2,2
430,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,2,2
435,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,2,2
440,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.0,0.0,-67,-67,0,False,4,False,4,False,2,2
445,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.6,0.24,-68,-67,0,False,4,False,4,False,2,2
450,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,2,2
455,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.8,0.16,-67,-66,0,False,4,False,4,False,2,2
460,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.2,0.16,-68,-67,0,False,4,False,4,False,2,2
465,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-66.6,0.24,-67,-66,0,False,4,False,4,False,2,2
470,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.0,0.0,-67,-67,0,False,4,False,4,False,2,2
475,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.4,0.64,-69,-67,0,False,4,False,4,False,2,2
480,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-68.0,2.0,-70,-66,0,False,4,False,4,False,2,2
485,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.8,0.16,-68,-67,0,False,4,False,4,False,2,2
490,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.8,0.16,-68,-67,0,False,4,False,4,False,2,2
495,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.6,0.64,-69,-67,0,False,4,False,4,False,2,2
500,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.0,0.0,-67,-67,0,False,4,False,4,False,2,2
505,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-67.4,0.24,-68,-67,0,False,5,False,5,False,2,2
510,NODE_F42DC973E618,victim_COM21_linear_none_r1_20260714_080110_telem.csv,victim,2,B0:CB:D8:F3:32:19,5,5,-68.2,0.16,-69,-68,0,False,4,False,4,False,2,2
