window_start,node_id,source_file,node_role,layer,parent_mac,n_samples_present,n_samples_expected,rssi_dbm_mean,rssi_dbm_var,rssi_dbm_min,rssi_dbm_max,retry_count_delta,retry_count_reset_detected,tx_count_delta,tx_count_reset_detected,probes_count_delta,probes_count_reset_detected,window_label,window_phase_id
340,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
345,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.2,2.5599999999999996,-53.0,-49.0,0.0,False,4.0,False,4.0,False,0.0,0.0
350,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
355,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
360,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
365,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.0,0.0,-53.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
370,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-51.8,0.16,-52.0,-51.0,0.0,False,4.0,False,4.0,False,0.0,0.0
375,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.0,0.0,-52.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0
380,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.0,0.0,-52.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0
385,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.0,0.0,-52.0,-52.0,0.0,False,4.0,False,4.0,False,0.0,0.0
390,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-52.8,1.3599999999999999,-55.0,-52.0,0.0,False,3.0,False,3.0,False,0.0,0.0
395,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.2,0.16,-54.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
400,NODE_B0CBD8F33218,victim_COM21_tree_none_r1_20260715_013848_telem.csv,victim,2.0,F4:2D:C9:73:E6:19,5,5,-53.4,0.24,-54.0,-53.0,0.0,False,4.0,False,4.0,False,0.0,0.0
